# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AGPAT3	AGPAT3	NM_020132.5	protein_coding	0	26	11	4275	177	1	7	180	0	3792	11	0	0	0	5	0	0	0	0	22	122
AIRE	AIRE	NM_000383.4	protein_coding	2	51	45	829	32	0	4	133	0	474	45	0	0	1	14	1	0	0	0	40	198
ANKRD20A11P	ANKRD20A11P	NR_027270.1		0	2	0	820	0	0	0	86	0	621	0	39	0	0	2	0	0	0	0	0	76
ANKRD30BP2	ANKRD30BP2	NR_026916.1		0	1	0	373	0	0	0	11	0	321	0	18	0	0	1	0	0	0	0	0	24
APP	APP	NM_000484.4	protein_coding	0	27	28	8319	29	0	5	156	0	8010	28	0	0	0	6	0	0	0	0	23	123
APP	APP	NM_001136016.3	protein_coding	0	29	28	7488	29	3	8	156	0	7165	28	0	0	0	5	0	0	0	0	23	133
APP	APP	NM_001136129.3	protein_coding	0	21	26	8327	29	0	5	156	0	8016	26	0	0	0	4	0	0	0	0	19	123
APP	APP	NM_001136130.3	protein_coding	0	25	27	8322	29	0	5	156	0	8012	27	0	0	0	5	0	0	0	0	22	123
APP	APP	NM_001136131.2	protein_coding	0	23	27	8333	29	0	0	156	0	8027	27	0	0	0	5	0	0	0	0	20	124
APP	APP	NM_001204301.2	protein_coding	0	27	28	8319	29	0	5	156	0	8010	28	0	0	0	6	0	0	0	0	23	123
APP	APP	NM_001204302.2	protein_coding	0	26	28	8320	29	0	5	156	0	8010	28	0	0	0	5	0	0	0	0	23	123
APP	APP	NM_001204303.2	protein_coding	0	23	27	8324	29	0	5	156	0	8014	27	0	0	0	5	0	0	0	0	20	123
APP	APP	NM_201413.3	protein_coding	0	26	28	8320	29	0	5	156	0	8010	28	0	0	0	5	0	0	0	0	23	123
APP	APP	NM_201414.3	protein_coding	0	23	27	8324	29	0	5	156	0	8014	27	0	0	0	5	0	0	0	0	20	123
ATP5PF	ATP5PF	NM_001003696.1	protein_coding	0	3	8	564	3	2	9	120	0	300	8	0	0	0	2	0	0	0	0	0	133
ATP5PF	ATP5PF	NM_001003697.1	protein_coding	1	0	8	564	3	0	2	120	0	307	8	0	0	1	1	0	0	0	0	0	133
ATP5PF	ATP5PF	NM_001003701.1	protein_coding	1	5	9	563	3	5	27	120	0	281	9	0	0	1	2	0	0	0	0	0	133
ATP5PF	ATP5PF	NM_001003703.1	protein_coding	0	5	8	565	3	5	30	120	0	279	8	0	0	0	1	0	0	0	0	0	133
ATP5PF	ATP5PF	NM_001320266.1	protein_coding	0	6	8	564	3	5	31	120	0	278	8	0	0	0	2	0	0	0	0	0	133
ATP5PF	ATP5PF	NM_001320267.1	protein_coding	0	7	8	564	3	6	38	120	0	271	8	0	0	0	2	0	0	0	0	0	133
ATP5PF	ATP5PF	NM_001685.4	protein_coding	1	4	8	564	3	4	25	120	0	284	8	0	0	1	1	0	0	0	0	0	133
ATP5PO	ATP5PO	NM_001697.3	protein_coding	1	7	17	577	0	0	2	120	0	322	17	0	0	0	2	0	1	0	0	6	134
B3GALT5	B3GALT5	NM_001278650.1	protein_coding	2	15	20	1603	51	0	4	140	0	1257	20	0	0	0	3	0	2	0	0	12	154
B3GALT5	B3GALT5	NM_001356336.2	protein_coding	3	16	20	1914	349	1	14	154	0	1247	20	0	1	0	3	0	2	0	0	12	154
B3GALT5	B3GALT5	NM_001356338.2	protein_coding	3	15	20	1194	349	1	17	154	0	497	20	0	1	0	2	0	2	0	0	12	180
B3GALT5	B3GALT5	NM_001356339.2	protein_coding	2	14	20	1195	349	0	7	154	0	507	20	0	0	0	2	0	2	0	0	12	180
B3GALT5	B3GALT5	NM_006057.3	protein_coding	2	15	20	722	349	1	13	154	0	73	20	0	0	0	2	0	2	0	0	12	135
B3GALT5	B3GALT5	NM_033170.3	protein_coding	2	15	20	722	349	1	6	154	0	80	20	0	0	0	2	0	2	0	0	12	135
B3GALT5	B3GALT5	NM_033171.3	protein_coding	2	17	20	721	349	2	16	154	0	70	20	0	0	0	3	0	2	0	0	12	135
B3GALT5	B3GALT5	NM_033172.3	protein_coding	2	16	20	722	349	2	14	154	0	72	20	0	0	0	2	0	2	0	0	12	135
B3GALT5-AS1	B3GALT5-AS1	NR_026542.1		0	1	0	691	0	0	0	125	0	387	0	47	0	0	1	0	0	0	0	0	133
B3GALT5-AS1	B3GALT5-AS1	NR_026543.1		0	1	0	462	0	0	0	124	0	166	0	40	0	0	1	0	0	0	0	0	133
BACE2	BACE2	NM_012105.5	protein_coding	0	26	20	3508	203	0	2	139	0	3062	20	0	0	0	4	0	0	0	0	22	106
BACE2	BACE2	NM_138991.3	protein_coding	0	24	17	3513	203	0	2	139	0	3067	17	0	0	0	4	0	0	0	0	20	106
BACE2	BACE2	NM_138992.3	protein_coding	0	17	12	3525	215	0	2	139	0	3067	12	0	0	0	4	0	0	0	0	13	106
BACH1	BACH1	NM_001186.4	protein_coding	1	13	35	1305	87	1	2	120	0	995	35	0	0	0	0	0	1	0	0	12	101
BACH1	BACH1	NM_206866.3	protein_coding	1	13	35	1299	87	1	8	120	0	978	35	0	0	0	0	0	1	0	0	12	106
BACH1	BACH1	NR_027655.2		0	3	0	1627	0	0	0	131	0	1325	0	66	0	0	3	0	0	0	0	0	108
BACH1-IT2	BACH1-IT2	NR_046564.2		0	0	0	329	0	0	0	154	0	26	0	24	0	0	0	0	0	0	0	0	125
BACH1-IT3	BACH1-IT3	NR_146594.1		0	4	0	409	0	0	0	142	0	128	0	12	0	0	4	0	0	0	0	0	131
BAGE	BAGE.2	NM_001187.1.2	protein_coding	1	15	3	1000	6	6	22	55	0	912	3	0	0	1	8	0	0	0	0	2	12
BAGE2	BAGE2	NM_182482.2	protein_coding	1	12	5	1434	37	7	23	0	0	1361	5	0	0	0	2	0	1	0	0	4	14
BAGE3	BAGE3.2	NM_182481.1.2	protein_coding	1	12	5	1434	37	7	23	0	0	1361	5	0	0	0	2	0	1	0	0	4	14
BAGE4	BAGE4	NM_181704.1	protein_coding	1	12	3	1436	30	6	20	0	0	1376	3	0	0	1	5	0	0	0	0	2	14
BRWD1	BRWD1	NM_001007246.2	protein_coding	0	9	4	858	45	6	26	128	0	503	4	0	0	0	4	0	0	0	0	1	158
BRWD1	BRWD1	NM_018963.5	protein_coding	2	61	71	3710	51	1	12	165	0	3322	71	0	0	0	12	0	2	0	0	53	167
BRWD1	BRWD1	NM_033656.4	protein_coding	1	59	72	3664	206	1	12	144	0	3142	72	0	0	0	12	0	1	0	0	51	167
BRWD1-AS1	BRWD1-AS1	NR_046655.1		0	0	0	576	0	0	0	135	0	208	0	15	0	0	0	0	0	0	0	0	218
BRWD1-AS2	BRWD1-AS2	NR_111942.1		0	0	0	419	0	0	0	150	0	0	0	44	0	0	0	0	0	0	0	0	225
BTG3	BTG3	NM_001130914.2.2	protein_coding	0	11	10	713	9	2	7	127	0	459	10	0	0	0	2	0	0	0	0	7	113
BTG3	BTG3	NM_006806.5	protein_coding	0	9	10	715	9	2	7	127	0	461	10	0	0	0	2	0	0	0	0	5	113
BTG3-AS1	BTG3-AS1	NR_149073.1		0	1	0	302	0	0	0	106	0	0	0	60	0	0	1	0	0	0	0	0	137
C21orf58	C21orf58	NM_001286462.1	protein_coding	1	27	16	886	10	9	30	167	0	521	16	0	1	0	8	0	0	0	0	11	164
C21orf58	C21orf58	NM_001286463.1	protein_coding	0	26	16	778	32	8	25	163	0	405	16	0	0	0	8	0	0	0	0	11	158
C21orf58	C21orf58	NM_001286476.1	protein_coding	0	34	16	960	17	16	55	163	0	565	16	0	0	0	8	0	0	0	0	11	165
C21orf58	C21orf58	NM_001286477.1	protein_coding	0	32	16	959	32	13	38	163	0	565	16	0	0	0	9	0	0	0	0	11	166
C21orf58	C21orf58	NM_058180.5	protein_coding	1	30	24	943	32	7	25	163	0	563	24	0	0	0	8	0	1	0	0	18	165
C21orf59-TCP10L	C21orf59-TCP10L	NM_001350338.2	protein_coding	2	15	29	1420	82	2	6	139	0	1027	29	0	0	0	3	0	2	0	0	10	169
C21orf59-TCP10L	C21orf59-TCP10L	NR_146638.2		0	7	0	1702	0	0	0	120	0	1221	0	199	0	0	7	0	0	0	0	0	169
C21orf59-TCP10L	C21orf59-TCP10L	NR_146639.2		0	7	0	1702	0	0	0	120	0	1221	0	199	0	0	7	0	0	0	0	0	169
C21orf62	C21orf62.2	NM_001162495.3.2	protein_coding	0	9	9	783	71	3	10	124	0	468	9	0	0	0	2	0	0	0	0	4	112
C21orf62	C21orf62.2	NM_001162496.3.2	protein_coding	0	7	9	785	71	3	4	124	0	474	9	0	0	0	0	0	0	0	0	4	112
C21orf62	C21orf62.2	NM_019596.6.2	protein_coding	0	7	9	785	71	3	6	124	0	472	9	0	0	0	0	0	0	0	0	4	112
C21orf62-AS1	C21orf62-AS1	NR_024622.1		0	1	0	907	0	0	0	132	0	621	0	33	0	0	1	0	0	0	0	0	122
C21orf62-AS1	C21orf62-AS1	NR_024623.1		0	1	0	907	0	0	0	132	0	621	0	33	0	0	1	0	0	0	0	0	122
C21orf91	C21orf91	NM_001100420.2	protein_coding	0	6	16	1043	106	0	0	144	0	632	16	0	0	0	2	0	0	0	0	5	162
C21orf91	C21orf91	NM_001100421.2	protein_coding	0	4	10	1051	111	0	0	144	0	635	10	0	0	0	1	0	0	0	0	3	162
C21orf91	C21orf91	NM_017447.4	protein_coding	0	6	16	1043	106	0	0	144	0	632	16	0	0	0	2	0	0	0	0	5	162
C21orf91-OT1	C21orf91-OT1	NR_038870.1		0	1	0	642	0	0	0	104	0	391	0	12	0	0	1	0	0	0	0	0	136
C21orf91-OT1	C21orf91-OT1	NR_038871.1		0	1	0	642	0	0	0	104	0	390	0	13	0	0	1	0	0	0	0	0	136
C2CD2	C2CD2	NM_015500.2	protein_coding	0	42	34	2384	110	0	3	154	0	1985	34	0	0	0	5	0	0	0	0	39	135
C2CD2	C2CD2	NM_199050.3	protein_coding	0	39	29	1578	110	2	8	154	0	1173	29	0	0	0	6	0	0	0	0	32	136
CBR1	CBR1	NM_001286789.2	protein_coding	1	8	13	360	46	1	5	135	0	49	13	0	0	0	0	0	1	0	0	7	125
CBR1	CBR1	NM_001757.4	protein_coding	0	20	22	340	10	1	5	135	0	65	22	0	0	0	0	0	0	0	0	19	125
CBR3	CBR3	NM_001236.4	protein_coding	0	11	23	511	3	0	3	125	0	261	23	0	0	0	1	0	0	0	0	11	119
CBR3-AS1	CBR3-AS1	NR_038892.1		1	3	0	890	0	0	0	104	0	592	0	46	1	0	3	0	0	0	0	0	152
CBR3-AS1	CBR3-AS1	NR_038893.1		1	3	0	890	0	0	0	104	0	594	0	44	1	0	3	0	0	0	0	0	152
CBR3-AS1	CBR3-AS1	NR_038894.1		0	3	0	661	0	0	0	140	0	348	0	24	0	0	3	0	0	0	0	0	152
CBS	CBS	NM_000071.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBS	CBS	NM_001178008.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBS	CBS	NM_001178009.3.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBS	CBS	NM_001320298.1.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBS	CBS	NM_001321072.1.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001321073.2.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354006.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354007.1.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354008.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354009.1.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354010.1.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354012.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354014.1	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NM_001354015.1.2	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBSL	CBSL.2	NR_148682.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCT8	CCT8	NM_001282907.1	protein_coding	0	15	20	684	5	1	22	128	0	408	20	0	0	0	5	0	0	0	0	10	125
CCT8	CCT8	NM_001282908.1	protein_coding	1	13	20	684	5	0	14	128	0	417	20	0	0	1	5	0	0	0	0	9	125
CCT8	CCT8	NM_001282909.1	protein_coding	0	12	19	687	5	0	13	128	0	419	19	0	0	0	4	0	0	0	0	9	125
CCT8	CCT8	NM_006585.4	protein_coding	0	14	20	683	5	0	5	128	0	418	20	0	0	0	5	0	0	0	0	10	131
CFAP298	CFAP298	NM_001350334.2	protein_coding	0	11	14	701	76	5	13	152	0	293	14	0	0	0	2	0	0	0	0	4	169
CFAP298	CFAP298	NM_001350335.1	protein_coding	1	10	14	647	49	3	24	156	0	254	14	0	0	0	0	0	1	0	1	6	164
CFAP298	CFAP298	NM_001350336.2	protein_coding	1	9	15	698	76	2	6	152	0	296	15	0	0	0	1	0	1	0	0	6	169
CFAP298	CFAP298	NM_001350337.2	protein_coding	1	11	16	630	15	2	6	156	0	285	16	0	0	0	1	0	1	0	0	8	169
CFAP298	CFAP298	NM_021254.4	protein_coding	1	10	18	694	76	2	6	152	0	293	18	0	0	0	2	0	1	0	0	6	169
CFAP410	CFAP410	NM_001271440.2	protein_coding	0	18	19	775	59	3	4	259	0	305	19	0	0	0	3	0	0	0	0	14	149
CFAP410	CFAP410	NM_001271441.2	protein_coding	0	27	24	761	59	3	4	259	0	292	24	0	0	0	5	0	0	0	0	22	149
CFAP410	CFAP410	NM_001271442.1	protein_coding	1	17	18	738	59	3	9	259	0	274	18	0	0	1	5	0	0	0	0	11	139
CFAP410	CFAP410	NM_004928.3	protein_coding	0	18	19	775	59	3	4	259	0	305	19	0	0	0	3	0	0	0	0	14	149
CHAF1B	CHAF1B	NM_005441.3	protein_coding	0	24	22	1050	71	1	4	149	0	713	22	0	0	0	5	0	0	0	0	19	117
CHODL	CHODL	NM_001204174.1	protein_coding	1	9	17	871	41	0	5	155	0	537	17	0	0	0	4	0	1	0	0	6	136
CHODL	CHODL	NM_001204175.1	protein_coding	1	10	13	9753	41	1	3	155	0	9406	13	0	0	0	4	0	1	0	0	6	151
CHODL	CHODL	NM_001204176.1	protein_coding	1	10	13	9753	41	1	9	155	0	9400	13	0	0	0	4	0	1	0	0	6	151
CHODL	CHODL	NM_001204177.1	protein_coding	1	10	11	9755	39	1	3	155	0	9409	11	0	0	0	3	0	1	0	0	7	151
CHODL	CHODL	NM_001204178.1	protein_coding	1	10	11	9755	39	1	9	155	0	9403	11	0	0	0	3	0	1	0	0	7	151
CHODL	CHODL	NM_024944.3	protein_coding	1	15	16	900	41	6	18	155	0	561	16	0	0	0	4	0	1	0	0	6	128
CHODL-AS1	CHODL-AS1	NR_024354.1		0	0	0	1457	0	0	0	107	0	1204	0	10	0	0	0	0	0	0	0	0	136
CLDN14	CLDN14	NM_001146077.1	protein_coding	1	20	17	3721	13	2	13	139	0	3412	17	0	0	0	2	0	1	0	0	16	145
CLDN14	CLDN14	NM_001146078.3	protein_coding	1	19	17	2732	13	1	12	139	0	2446	17	0	0	0	2	0	1	0	0	16	124
CLDN14	CLDN14	NM_001146079.2	protein_coding	1	21	17	903	13	5	27	139	0	534	17	0	0	0	0	0	1	0	0	16	190
CLDN14	CLDN14	NM_012130.4	protein_coding	1	17	17	455	13	1	6	139	0	146	17	0	0	0	0	0	1	0	0	16	151
CLDN14	CLDN14	NM_144492.3	protein_coding	1	21	17	903	13	5	31	139	0	530	17	0	0	0	0	0	1	0	0	16	190
CLDN17	CLDN17	NM_012131.3	protein_coding	1	9	18	359	16	2	8	168	0	0	18	0	0	0	0	0	1	0	0	7	167
CLDN8	CLDN8	NM_199328.3	protein_coding	0	3	17	297	27	0	2	140	0	0	17	0	0	0	0	0	0	0	0	3	128
CLIC6	CLIC6	NM_001317009.2	protein_coding	0	29	44	1668	52	0	15	155	0	1303	44	0	0	0	3	0	0	0	0	27	145
CLIC6	CLIC6	NM_053277.3	protein_coding	0	29	43	1669	52	0	15	155	0	1304	43	0	0	0	3	0	0	0	0	27	145
COL18A1	COL18A1	NM_030582.4	protein_coding	4	153	128	3011	44	0	2	209	0	2482	128	0	0	4	28	0	0	0	0	135	296
COL18A1	COL18A1	NM_130444.3	protein_coding	6	167	161	2962	44	0	2	209	0	2434	161	0	0	5	28	0	1	0	0	149	296
COL18A1	COL18A1	NM_130445.4	protein_coding	4	139	111	5008	44	0	0	209	0	4615	111	0	0	4	27	0	0	0	0	121	162
COL18A1-AS1	COL18A1-AS1	NR_027498.1		0	2	0	665	0	0	0	212	0	100	0	113	0	0	2	0	0	0	0	0	242
COL18A1-AS1	COL18A1-AS1	NR_028082.1		0	4	0	661	0	0	0	212	0	62	0	150	0	0	4	0	0	0	0	0	241
COL18A1-AS2	COL18A1-AS2	NR_052004.1		1	2	0	421	0	0	0	154	0	71	0	16	0	1	2	0	0	0	0	0	183
COL6A1	COL6A1	NM_001848.3	protein_coding	0	103	96	1213	51	1	5	167	0	867	96	0	0	0	23	0	0	0	0	83	142
COL6A2	COL6A2	NM_001849.4	protein_coding	0	124	112	1890	35	1	1	290	0	1420	112	0	0	0	24	0	0	0	0	106	161
COL6A2	COL6A2	NM_058174.3	protein_coding	0	103	88	1747	22	1	1	362	0	1218	88	0	0	0	25	0	0	0	0	84	161
COL6A2	COL6A2	NM_058175.2	protein_coding	0	93	75	1768	69	0	0	362	0	1192	75	0	0	0	24	0	0	0	0	76	162
CRYAA	CRYAA	NM_000394.4.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYAA	CRYAA	NM_001363766.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYAA2	CRYAA2	NM_001314050.2.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYAA2	CRYAA2	NM_001320719.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYZL1	CRYZL1	NM_145858.3	protein_coding	0	12	12	1412	14	1	1	123	0	1146	12	0	0	0	3	0	0	0	0	8	131
CSTB	CSTB	NM_000100.3	protein_coding	2	7	9	413	22	2	6	183	0	58	9	0	1	0	2	0	1	0	0	3	147
CXADR	CXADR	NM_001207063.2	protein_coding	1	9	6	1936	112	0	2	154	0	1548	6	0	0	0	2	0	1	0	0	8	121
CXADR	CXADR	NM_001207064.2	protein_coding	1	8	6	1937	112	0	2	154	0	1548	6	0	0	0	1	0	1	0	0	8	121
CXADR	CXADR	NM_001207065.2	protein_coding	0	1	3	1948	116	0	2	154	0	1555	3	0	0	0	1	0	0	0	0	1	121
CXADR	CXADR	NM_001207066.1	protein_coding	0	11	11	2586	6	0	4	135	0	2317	11	0	0	0	2	0	0	0	0	10	125
CXADR	CXADR	NM_001338.5	protein_coding	0	12	11	1929	109	0	2	154	0	1544	11	0	0	0	2	0	0	0	0	11	121
CYP4F29P	CYP4F29P	NR_026755.1		0	2	0	453	0	0	0	122	0	83	0	23	0	0	2	0	0	0	0	0	227
CYYR1	CYYR1	NM_001320768.2	protein_coding	2	5	14	2859	68	1	9	132	0	2531	14	0	0	2	0	0	0	0	0	4	121
CYYR1	CYYR1	NM_052954.5	protein_coding	2	5	14	2859	68	1	9	132	0	2531	14	0	0	2	0	0	0	0	0	4	121
CYYR1	CYYR1	NR_135472.2		2	0	0	2877	0	0	0	132	0	2531	0	95	0	2	0	0	0	0	0	0	121
CYYR1-AS1	CYYR1-AS1	NR_135515.1		0	2	0	4584	0	0	0	134	0	4202	0	83	0	0	2	0	0	0	0	0	167
CYYR1-AS1	CYYR1-AS1	NR_135516.1		0	0	0	3711	0	0	0	115	0	3430	0	9	0	0	0	0	0	0	0	0	157
D21S2088E	D21S2088E	NR_040254.1		0	5	0	1015	0	0	0	151	0	708	0	39	0	0	5	0	0	0	0	0	122
DIP2A	DIP2A	NM_001146115.2	protein_coding	0	42	39	2584	8	0	6	155	0	2271	39	0	0	0	8	0	0	0	0	36	150
DIP2A	DIP2A	NM_001146116.1	protein_coding	0	88	69	3162	78	0	5	128	0	2815	69	0	0	0	16	0	0	0	0	74	150
DIP2A	DIP2A	NM_001353942.1	protein_coding	0	88	69	3162	78	0	5	128	0	2815	69	0	0	0	16	0	0	0	0	74	150
DIP2A	DIP2A	NM_001353943.1	protein_coding	1	89	69	3191	18	0	5	131	0	2902	69	0	0	1	17	0	0	0	0	74	150
DIP2A	DIP2A	NM_001353944.2	protein_coding	0	40	32	2593	8	0	6	155	0	2279	32	0	0	0	7	0	0	0	0	35	150
DIP2A	DIP2A	NM_015151.4	protein_coding	0	88	69	3163	78	0	6	128	0	2815	69	0	0	0	16	0	0	0	0	74	150
DIP2A	DIP2A	NM_206889.3	protein_coding	0	52	44	2647	5	0	6	146	0	2348	44	0	0	0	10	0	0	0	0	44	150
DIP2A	DIP2A	NM_206890.3	protein_coding	0	43	42	2580	8	0	6	155	0	2267	42	0	0	0	8	0	0	0	0	37	150
DIP2A	DIP2A	NM_206891.3	protein_coding	0	40	38	2556	17	0	6	162	0	2227	38	0	0	0	7	0	0	0	0	34	150
DIP2A-IT1	DIP2A-IT1	NR_046400.1		1	2	0	459	0	0	0	150	0	167	0	9	1	0	2	0	0	0	0	0	136
DNAJC28	DNAJC28	NM_001040192.2	protein_coding	3	6	17	318	4	2	6	124	0	51	17	0	0	0	1	0	3	0	0	3	134
DNAJC28	DNAJC28	NM_001320746.2	protein_coding	3	6	17	318	4	2	5	124	0	52	17	0	0	0	1	0	3	0	0	3	134
DNAJC28	DNAJC28	NM_017833.4	protein_coding	3	6	17	310	4	2	12	124	0	34	17	0	0	0	1	0	3	0	0	3	137
DNMT3L	DNMT3L	NM_013369.4	protein_coding	4	14	22	436	0	0	1	0	0	265	22	0	2	0	4	0	2	0	0	11	175
DNMT3L	DNMT3L	NM_175867.3	protein_coding	4	14	22	436	0	0	1	0	0	265	22	0	2	0	4	0	2	0	0	11	175
